name,high,low,open,close,avg,volume,day
HAT,21.5967033,21.18131868,21.39120879,21.48351648,21.36485714,723,2022-01-01 to 2022-05-22
QCC,10.07252747,9.80989011,9.896703297,9.992307692,9.921934066,716,2022-01-01 to 2022-05-22
QPH,29.32527473,28.74175824,28.75934066,29.27912088,29.1418022,709,2022-01-01 to 2022-05-22
VTX,18.0043956,17.97032967,17.97802198,17.99120879,17.99324176,701,2022-01-01 to 2022-05-22
DVC,13.6032967,13.52527473,13.57142857,13.55494505,13.55912088,700,2022-01-01 to 2022-05-22
GER,17.1989011,16.46593407,16.88571429,16.85604396,16.79559341,699,2022-01-01 to 2022-05-22
HRC,53.49340659,53.07472527,53.29010989,53.36703297,29.70098901,666,2022-01-01 to 2022-05-22
LGC,45.41868132,44.06758242,44.36208791,45.21593407,33.53945055,645,2022-01-01 to 2022-05-22
CHC,1.737362637,1.737362637,1.737362637,1.737362637,1.737362637,637,2022-01-01 to 2022-05-22
KHA,28.31318681,28.03956044,28.22637363,28.13186813,28.17740659,635,2022-01-01 to 2022-05-22
DPH,50.29340659,49.66703297,50.13076923,49.86483516,49.84241758,630,2022-01-01 to 2022-05-22
CLM,31.25824176,30.85164835,30.99340659,31.06813187,31.05225275,630,2022-01-01 to 2022-05-22
LAI,30.5956044,30.16483516,30.36373626,30.38681319,30.28051648,626,2022-01-01 to 2022-05-22
LKW,44.41098901,43.70879121,44.10989011,44.14505495,44.04914286,626,2022-01-01 to 2022-05-22
C12,4.541758242,4.5,4.506593407,4.52967033,4.516142857,624,2022-01-01 to 2022-05-22
DND,24.38021978,24.20769231,24.28681319,24.28791209,24.26154945,615,2022-01-01 to 2022-05-22
SNC,17.8021978,17.63076923,17.70769231,17.74505495,17.7343956,611,2022-01-01 to 2022-05-22
CMF,164.9131868,163.756044,163.9901099,164.4241758,164.3113077,605,2022-01-01 to 2022-05-22
TUG,19.17472527,18.83956044,18.9956044,19.00989011,18.96791209,599,2022-01-01 to 2022-05-22
CKD,31.80549451,31.59340659,31.73956044,31.72417582,31.71272527,589,2022-01-01 to 2022-05-22
BBS,12.9032967,12.78571429,12.82307692,12.87472527,12.83349451,583,2022-01-01 to 2022-05-22
BSP,18.82307692,18.6967033,18.76593407,18.75384615,18.76853846,575,2022-01-01 to 2022-05-22
CX8,9.02967033,8.868131868,8.941758242,8.968131868,8.959758242,549,2022-01-01 to 2022-05-22
GTS,12.22967033,12.18571429,12.21428571,12.2021978,12.20421978,546,2022-01-01 to 2022-05-22
L10,28.4043956,28.22142857,28.24835165,28.39340659,5.876483516,512,2022-01-01 to 2022-05-22
